,ROC AUC Score,PR AUC Score
Fall52,0.9235294117647058,0.7510972490859015
Fall53,0.9254385964912282,0.8032191269395363
Fall54,0.9002155172413793,0.6578001475718439
Fall55,0.8896538158929976,0.7356965817480567
Fall56,0.8787523452157598,0.5232979506208201
Fall57,0.9688693659281894,0.9058187388341605
Fall58,0.9150251946862116,0.7763113656021499
Fall59,0.8970588235294117,0.741377629108092
Fall60,0.9355400696864112,0.7612441919120156
Fall61,0.8470728793309439,0.41606769537237076
Fall62,0.9411419172932332,0.7429123562656883
Fall63,0.9727708533077661,0.9294812014946685
Fall64,0.8939453125,0.518972928868769
Fall65,0.9710321324245376,0.8950347048473224
Fall66,0.9263525305410123,0.7237653017159658
Fall67,0.8471451584034365,0.5481093612399819
Fall68,0.9009219581872484,0.7703210875699715
Fall69,0.868944099378882,0.6381495032511384
Fall70,0.9413555194805194,0.8025586266627946
Fall71,0.963302752293578,0.892608601179113
Fall72,0.9382566585956416,0.8516152607673012
Fall73,0.9774183704607873,0.9392388951179709
Fall74,0.9876499647141849,0.969550904169656
Fall75,0.9894736842105264,0.9688805695088037
Fall76,0.9772903225806452,0.9241776780874119
Fall77,0.9937343358395989,0.9695701166606694
Fall78,0.846047794117647,0.40789698505196165
Fall79,0.9717868338557993,0.9239999440977154
Fall80,0.9412515964240102,0.8063128492221776
Fall81,0.9870689655172413,0.9706038426511117
Fall82,0.9945913461538461,0.9757346892456571
Fall83,0.9635918081568353,0.8038526215684068
Fall84,0.9931113662456946,0.9585179138686766
Fall85,0.9480207177210507,0.8364906098680326
Fall86,0.9082774049217003,0.5787720957821092
Fall87,0.7947154471544715,0.313878012829194
Fall88,0.8761783439490446,0.48741153991321723
Fall89,0.9233455882352941,0.751381894937904
Fall90,0.9096,0.6629677246232801
Fall91,0.9344151453684922,0.8463053799663574
Fall92,0.9525773195876288,0.8517815555578598
Fall93,0.924860853432282,0.8057264546044545
Fall94,0.900952380952381,0.6630427856069547
Fall95,0.8874327956989247,0.5698914526461084
Fall96,0.8877688172043011,0.7789662596011855
Fall97,0.8934790030727211,0.6513531483571844
Fall98,0.8608247422680413,0.4986006400151626
Fall99,0.8353365384615384,0.42022290012947
Fall100,0.8451327433628318,0.4496220084915853
Fall101,0.8879795396419438,0.6176805260220578
Fall102,0.8218045112781955,0.2856978118400335
Fall103,0.8419698009608786,0.3576290417431933
Fall104,0.8413220551378446,0.39662840916020115
Fall105,0.7964470762398224,0.35456806799076557
Fall106,0.8860031720856464,0.34098895658735273
Fall107,0.8949891067538127,0.5623793481077123
Fall108,0.8756535947712419,0.3659415547393843
Fall109,0.840071877807727,0.5038914569577679
Fall110,0.7658745127624796,0.2141774686820054
Fall111,0.9118279569892472,0.7316325658299978
Fall112,0.880413057961359,0.6495567709442148
Fall113,0.8941398865784499,0.5163301596626615
Fall114,0.7706924315619968,0.4501424526327439
Fall115,0.8909313725490196,0.4906184522048766
Fall116,0.8657229246838923,0.6365493755841136
Fall117,0.8978494623655915,0.7748635394504315
Fall118,0.8056595921764461,0.40979101874256463
Fall119,0.814200398142004,0.5638365709120581
Fall120,0.8437113402061855,0.6169697753216634
Fall121,0.8768677365799668,0.6428060549536576
Fall122,0.7843822843822844,0.40752860060325474
Fall123,0.7938988095238095,0.5284302676086999
Fall124,0.8483766233766233,0.5671552835235495
Fall125,0.9068322981366459,0.645282199922513
Fall126,0.7353219696969697,0.34624905393859506
Fall127,0.8736263736263736,0.7566168039291253
Fall128,0.8008510638297872,0.5449757618480789
Fall129,0.8729508196721312,0.7164398607995293
Fall130,0.8031496062992125,0.31442561954005266
Fall131,0.9508620689655173,0.7415051220988542
Fall132,0.9494408201304753,0.8293119642771137
Fall133,0.8756448047162859,0.7434878347441769
Fall134,0.7857423409269442,0.4532123153925247
Fall135,0.9071428571428571,0.6813084824331611
Fall136,0.9534412955465587,0.7819977359357569
Fall137,0.8397163120567376,0.34019317539537786
Fall138,0.9818947368421053,0.9142701788966601
Fall139,0.9255172413793104,0.6517170430297639
Fall140,0.9271284271284271,0.7028709143050815
Fall141,0.7159503631961259,0.1584136253352518
Fall142,0.8718070009460738,0.38417996938117466
Fall143,0.9150344827586206,0.6935955508759163
Fall144,0.8331290849673203,0.3447095352763602
Fall145,0.8790322580645161,0.6889488001226989
Fall146,0.832035595105673,0.32779285433746147
Fall147,0.8863839285714286,0.5388044114624979
Fall148,0.7809436274509804,0.2785026509679691
