,ROC AUC Score,PR AUC Score
Fall47,0.8044602456367161,0.37790884773424444
Fall48,0.7915181753385603,0.3008111803151611
Fall49,0.758148631029987,0.2874182326472374
Fall50,0.8114826871855578,0.41816676297446015
Fall51,0.6870739712193891,0.17738345469601777
Fall52,0.796078431372549,0.3297504577478
Fall53,0.7595029239766081,0.4399470927479493
Fall54,0.8137931034482759,0.377707913330665
Fall55,0.7425255704169944,0.39153958284280943
Fall56,0.6780018761726079,0.241235282463596
Fall57,0.8288770053475936,0.3924255241239114
Fall58,0.8135593220338982,0.45455380029529036
Fall59,0.7829236172080772,0.38585298966063614
Fall60,0.8185975609756098,0.3739290026509235
Fall61,0.383273596176822,0.1420883700337707
Fall62,0.6407424812030075,0.17329466768902424
Fall63,0.49146692233940553,0.17064768962891239
Fall64,0.52734375,0.17565663660360073
Fall65,0.46421616358325213,0.12067179394469699
Fall66,0.49825479930191974,0.12827561593070227
Fall67,0.3373903705029533,0.14376720383299035
Fall68,0.48253473574860406,0.2237466525216779
Fall69,0.43561076604554866,0.17214159467124926
Fall70,0.5474837662337663,0.16814702233749895
Fall71,0.7905863581970483,0.37969345892811157
Fall72,0.7369854721549637,0.31947707790460267
Fall73,0.8333841928593226,0.5459134499077087
Fall74,0.7625264643613268,0.33391287985115486
Fall75,0.7659649122807017,0.31313370635917603
Fall76,0.7540645161290322,0.3333410513180875
Fall77,0.7151211361737678,0.22876052520674028
Fall78,0.8511029411764706,0.33144549654542305
Fall79,0.6884012539184953,0.29378514773858044
Fall80,0.7883141762452107,0.34852837647891477
Fall81,0.6306715063520871,0.1846194578216233
Fall82,0.5676081730769231,0.1743709250903256
Fall83,0.47120602135480477,0.11075964724558042
Fall84,0.4923459624952162,0.1019650589009759
Fall85,0.48353681095079537,0.16014237979110743
Fall86,0.6049856184084372,0.14571992070876466
Fall87,0.5354561878952122,0.13849916847163954
Fall88,0.6639490445859872,0.21055133325265624
Fall89,0.45772058823529416,0.1905309691341328
Fall90,0.6492,0.16554489926478078
Fall91,0.7718052738336714,0.4911405632738025
Fall92,0.7727835051546391,0.3378625668499241
Fall93,0.7241805813234385,0.40173585684931723
Fall94,0.7801904761904762,0.3780185585256315
Fall95,0.6995967741935484,0.31405284558204116
Fall96,0.7631048387096774,0.4306623600874926
Fall97,0.7729600546261522,0.40253481365360183
Fall98,0.7452749140893471,0.3389835632476191
Fall99,0.780448717948718,0.3675847540129717
Fall100,0.7783185840707965,0.2672681879393858
Fall101,0.32608695652173914,0.08493306537655493
Fall102,0.375,0.0977256235931622
Fall103,0.3769732326698696,0.10550660162606357
Fall104,0.42152255639097747,0.17273938177961046
Fall105,0.3143967431532198,0.08823640980314919
Fall106,0.43041237113402064,0.09445349170010525
Fall107,0.3535947712418301,0.10151075942370436
Fall108,0.44999999999999996,0.1127606094212876
